id,name,slug,created_at,updated_at
1,Hand Accessories,hand-accessories,NULL,NULL
2,Hair Accessories,hair-accessories,NULL,NULL
3,School,school,NULL,NULL
4,Baby Products,baby-products,NULL,NULL
5,Bags,bags,NULL,NULL
6,Belts,belts,NULL,NULL
7,Eye wear,eye-wear,NULL,NULL
8,Scarves,scarves,NULL,NULL
9,Technology,technology,NULL,NULL
10,Luggage,luggage,NULL,NULL
11,Suit Accessories,suit-accessories,NULL,NULL
12,Head Accessories,head-accessories,NULL,NULL
13,Beauty Accessories,beauty-accessories,NULL,NULL
14,Jewellery,jewellery,NULL,NULL
15,Cosmetics Kit,cosmetics-kit,NULL,NULL
16,Eyes,eyes,NULL,NULL
17,Face,face,NULL,NULL
18,Lips,lips,NULL,NULL
19,Nails,nails,NULL,NULL
20,Eau De Perfum,eau-de-perfum,NULL,NULL
21,Mist & Spray,mist-&-spray,NULL,NULL
22,Haircare,haircare,NULL,NULL
23,Skincare,skincare,NULL,NULL
24,Infants,infants,NULL,NULL
25,Pajama,pajama,NULL,NULL
26,Pre-Teens,pre-teens,NULL,NULL
27,Teens,teens,NULL,NULL
28,Toddlers,toddlers,NULL,NULL
29,Beach Wear,beach-wear,NULL,NULL
30,Body,body,NULL,NULL
31,Bottoms,bottoms,NULL,NULL
32,Outwear,outwear,NULL,NULL
33,Plus Size,plus-size,NULL,NULL
34,Shirt,shirt,NULL,NULL
35,Sportswear,sportswear,NULL,NULL
36,T-Shirts,t-shirts,NULL,NULL
37,Clothing Set,clothing-set,NULL,NULL
38,Dresses,dresses,NULL,NULL
39,Jumpsuits,jumpsuits,NULL,NULL
40,Maternity,maternity,NULL,NULL
41,Tops,tops,NULL,NULL
42,Casual Shoes,casual-shoes,NULL,NULL
43,Sandals,sandals,NULL,NULL
44,Shoe Care,shoe-care,NULL,NULL
45,Sports Shoes,sports-shoes,NULL,NULL
46,Boots,boots,NULL,NULL
47,Formal Shoes,formal-shoes,NULL,NULL
48,Slippers,slippers,NULL,NULL
49,Flats,flats,NULL,NULL
50,Heels,heels,NULL,NULL
51,Wedges,wedges,NULL,NULL
52,Free Item Gift,free-item-gift,NULL,NULL
53,Hand Accessories,hand-accessories,NULL,NULL
54,Hair Accessories,hair-accessories,NULL,NULL
55,School,school,NULL,NULL
56,Baby Products,baby-products,NULL,NULL
57,Bags,bags,NULL,NULL
58,Belts,belts,NULL,NULL
59,Eye wear,eye-wear,NULL,NULL
60,Scarves,scarves,NULL,NULL
61,Technology,technology,NULL,NULL
62,Luggage,luggage,NULL,NULL
63,Suit Accessories,suit-accessories,NULL,NULL
64,Head Accessories,head-accessories,NULL,NULL
65,Beauty Accessories,beauty-accessories,NULL,NULL
66,Jewellery,jewellery,NULL,NULL
67,Cosmetics Kit,cosmetics-kit,NULL,NULL
68,Eyes,eyes,NULL,NULL
69,Face,face,NULL,NULL
70,Lips,lips,NULL,NULL
71,Nails,nails,NULL,NULL
72,Eau De Perfum,eau-de-perfum,NULL,NULL
73,Mist & Spray,mist-&-spray,NULL,NULL
74,Haircare,haircare,NULL,NULL
75,Skincare,skincare,NULL,NULL
76,Infants,infants,NULL,NULL
77,Pajama,pajama,NULL,NULL
78,Pre-Teens,pre-teens,NULL,NULL
79,Teens,teens,NULL,NULL
80,Toddlers,toddlers,NULL,NULL
81,Beach Wear,beach-wear,NULL,NULL
82,Body,body,NULL,NULL
83,Bottoms,bottoms,NULL,NULL
84,Outwear,outwear,NULL,NULL
85,Plus Size,plus-size,NULL,NULL
86,Shirt,shirt,NULL,NULL
87,Sportswear,sportswear,NULL,NULL
88,T-Shirts,t-shirts,NULL,NULL
89,Clothing Set,clothing-set,NULL,NULL
90,Dresses,dresses,NULL,NULL
91,Jumpsuits,jumpsuits,NULL,NULL
92,Maternity,maternity,NULL,NULL
93,Tops,tops,NULL,NULL
94,Casual Shoes,casual-shoes,NULL,NULL
95,Sandals,sandals,NULL,NULL
96,Shoe Care,shoe-care,NULL,NULL
97,Sports Shoes,sports-shoes,NULL,NULL
98,Boots,boots,NULL,NULL
99,Formal Shoes,formal-shoes,NULL,NULL
100,Slippers,slippers,NULL,NULL
101,Flats,flats,NULL,NULL
102,Heels,heels,NULL,NULL
103,Wedges,wedges,NULL,NULL
104,Free Item Gift,free-item-gift,NULL,NULL
105,Hand Accessories,hand-accessories,NULL,NULL
106,Hair Accessories,hair-accessories,NULL,NULL
107,School,school,NULL,NULL
108,Baby Products,baby-products,NULL,NULL
109,Bags,bags,NULL,NULL
110,Belts,belts,NULL,NULL
111,Eye wear,eye-wear,NULL,NULL
112,Scarves,scarves,NULL,NULL
113,Technology,technology,NULL,NULL
114,Luggage,luggage,NULL,NULL
115,Suit Accessories,suit-accessories,NULL,NULL
116,Head Accessories,head-accessories,NULL,NULL
117,Beauty Accessories,beauty-accessories,NULL,NULL
118,Jewellery,jewellery,NULL,NULL
119,Cosmetics Kit,cosmetics-kit,NULL,NULL
120,Eyes,eyes,NULL,NULL
121,Face,face,NULL,NULL
122,Lips,lips,NULL,NULL
123,Nails,nails,NULL,NULL
124,Eau De Perfum,eau-de-perfum,NULL,NULL
125,Mist & Spray,mist-&-spray,NULL,NULL
126,Haircare,haircare,NULL,NULL
127,Skincare,skincare,NULL,NULL
128,Infants,infants,NULL,NULL
129,Pajama,pajama,NULL,NULL
130,Pre-Teens,pre-teens,NULL,NULL
131,Teens,teens,NULL,NULL
132,Toddlers,toddlers,NULL,NULL
133,Beach Wear,beach-wear,NULL,NULL
134,Body,body,NULL,NULL
135,Bottoms,bottoms,NULL,NULL
136,Outwear,outwear,NULL,NULL
137,Plus Size,plus-size,NULL,NULL
138,Shirt,shirt,NULL,NULL
139,Sportswear,sportswear,NULL,NULL
140,T-Shirts,t-shirts,NULL,NULL
141,Clothing Set,clothing-set,NULL,NULL
142,Dresses,dresses,NULL,NULL
143,Jumpsuits,jumpsuits,NULL,NULL
144,Maternity,maternity,NULL,NULL
145,Tops,tops,NULL,NULL
146,Casual Shoes,casual-shoes,NULL,NULL
147,Sandals,sandals,NULL,NULL
148,Shoe Care,shoe-care,NULL,NULL
149,Sports Shoes,sports-shoes,NULL,NULL
150,Boots,boots,NULL,NULL
151,Formal Shoes,formal-shoes,NULL,NULL
152,Slippers,slippers,NULL,NULL
153,Flats,flats,NULL,NULL
154,Heels,heels,NULL,NULL
155,Wedges,wedges,NULL,NULL
156,Free Item Gift,free-item-gift,NULL,NULL
157,Hand Accessories,hand-accessories,NULL,NULL
158,Hair Accessories,hair-accessories,NULL,NULL
159,School,school,NULL,NULL
160,Baby Products,baby-products,NULL,NULL
161,Bags,bags,NULL,NULL
162,Belts,belts,NULL,NULL
163,Eye wear,eye-wear,NULL,NULL
164,Scarves,scarves,NULL,NULL
165,Technology,technology,NULL,NULL
166,Luggage,luggage,NULL,NULL
167,Suit Accessories,suit-accessories,NULL,NULL
168,Head Accessories,head-accessories,NULL,NULL
169,Beauty Accessories,beauty-accessories,NULL,NULL
170,Jewellery,jewellery,NULL,NULL
171,Cosmetics Kit,cosmetics-kit,NULL,NULL
172,Eyes,eyes,NULL,NULL
173,Face,face,NULL,NULL
174,Lips,lips,NULL,NULL
175,Nails,nails,NULL,NULL
176,Eau De Perfum,eau-de-perfum,NULL,NULL
177,Mist & Spray,mist-&-spray,NULL,NULL
178,Haircare,haircare,NULL,NULL
179,Skincare,skincare,NULL,NULL
180,Infants,infants,NULL,NULL
181,Pajama,pajama,NULL,NULL
182,Pre-Teens,pre-teens,NULL,NULL
183,Teens,teens,NULL,NULL
184,Toddlers,toddlers,NULL,NULL
185,Beach Wear,beach-wear,NULL,NULL
186,Body,body,NULL,NULL
187,Bottoms,bottoms,NULL,NULL
188,Outwear,outwear,NULL,NULL
189,Plus Size,plus-size,NULL,NULL
190,Shirt,shirt,NULL,NULL
191,Sportswear,sportswear,NULL,NULL
192,T-Shirts,t-shirts,NULL,NULL
193,Clothing Set,clothing-set,NULL,NULL
194,Dresses,dresses,NULL,NULL
195,Jumpsuits,jumpsuits,NULL,NULL
196,Maternity,maternity,NULL,NULL
197,Tops,tops,NULL,NULL
198,Casual Shoes,casual-shoes,NULL,NULL
199,Sandals,sandals,NULL,NULL
200,Shoe Care,shoe-care,NULL,NULL
201,Sports Shoes,sports-shoes,NULL,NULL
202,Boots,boots,NULL,NULL
203,Formal Shoes,formal-shoes,NULL,NULL
204,Slippers,slippers,NULL,NULL
205,Flats,flats,NULL,NULL
206,Heels,heels,NULL,NULL
207,Wedges,wedges,NULL,NULL
208,Free Item Gift,free-item-gift,NULL,NULL
209,Hand Accessories,hand-accessories,NULL,NULL
210,Hair Accessories,hair-accessories,NULL,NULL
211,School,school,NULL,NULL
212,Baby Products,baby-products,NULL,NULL
213,Bags,bags,NULL,NULL
214,Belts,belts,NULL,NULL
215,Eye wear,eye-wear,NULL,NULL
216,Scarves,scarves,NULL,NULL
217,Technology,technology,NULL,NULL
218,Luggage,luggage,NULL,NULL
219,Suit Accessories,suit-accessories,NULL,NULL
220,Head Accessories,head-accessories,NULL,NULL
221,Beauty Accessories,beauty-accessories,NULL,NULL
222,Jewellery,jewellery,NULL,NULL
223,Cosmetics Kit,cosmetics-kit,NULL,NULL
224,Eyes,eyes,NULL,NULL
225,Face,face,NULL,NULL
226,Lips,lips,NULL,NULL
227,Nails,nails,NULL,NULL
228,Eau De Perfum,eau-de-perfum,NULL,NULL
229,Mist & Spray,mist-&-spray,NULL,NULL
230,Haircare,haircare,NULL,NULL
231,Skincare,skincare,NULL,NULL
232,Infants,infants,NULL,NULL
233,Pajama,pajama,NULL,NULL
234,Pre-Teens,pre-teens,NULL,NULL
235,Teens,teens,NULL,NULL
236,Toddlers,toddlers,NULL,NULL
237,Beach Wear,beach-wear,NULL,NULL
238,Body,body,NULL,NULL
239,Bottoms,bottoms,NULL,NULL
240,Outwear,outwear,NULL,NULL
241,Plus Size,plus-size,NULL,NULL
242,Shirt,shirt,NULL,NULL
243,Sportswear,sportswear,NULL,NULL
244,T-Shirts,t-shirts,NULL,NULL
245,Clothing Set,clothing-set,NULL,NULL
246,Dresses,dresses,NULL,NULL
247,Jumpsuits,jumpsuits,NULL,NULL
248,Maternity,maternity,NULL,NULL
249,Tops,tops,NULL,NULL
250,Casual Shoes,casual-shoes,NULL,NULL
251,Sandals,sandals,NULL,NULL
252,Shoe Care,shoe-care,NULL,NULL
253,Sports Shoes,sports-shoes,NULL,NULL
254,Boots,boots,NULL,NULL
255,Formal Shoes,formal-shoes,NULL,NULL
256,Slippers,slippers,NULL,NULL
257,Flats,flats,NULL,NULL
258,Heels,heels,NULL,NULL
259,Wedges,wedges,NULL,NULL
260,Free Item Gift,free-item-gift,NULL,NULL
261,Hand Accessories,hand-accessories,NULL,NULL
262,Hair Accessories,hair-accessories,NULL,NULL
263,School,school,NULL,NULL
264,Baby Products,baby-products,NULL,NULL
265,Bags,bags,NULL,NULL
266,Belts,belts,NULL,NULL
267,Eye wear,eye-wear,NULL,NULL
268,Scarves,scarves,NULL,NULL
269,Technology,technology,NULL,NULL
270,Luggage,luggage,NULL,NULL
271,Suit Accessories,suit-accessories,NULL,NULL
272,Head Accessories,head-accessories,NULL,NULL
273,Beauty Accessories,beauty-accessories,NULL,NULL
274,Jewellery,jewellery,NULL,NULL
275,Cosmetics Kit,cosmetics-kit,NULL,NULL
276,Eyes,eyes,NULL,NULL
277,Face,face,NULL,NULL
278,Lips,lips,NULL,NULL
279,Nails,nails,NULL,NULL
280,Eau De Perfum,eau-de-perfum,NULL,NULL
281,Mist & Spray,mist-&-spray,NULL,NULL
282,Haircare,haircare,NULL,NULL
283,Skincare,skincare,NULL,NULL
284,Infants,infants,NULL,NULL
285,Pajama,pajama,NULL,NULL
286,Pre-Teens,pre-teens,NULL,NULL
287,Teens,teens,NULL,NULL
288,Toddlers,toddlers,NULL,NULL
289,Beach Wear,beach-wear,NULL,NULL
290,Body,body,NULL,NULL
291,Bottoms,bottoms,NULL,NULL
292,Outwear,outwear,NULL,NULL
293,Plus Size,plus-size,NULL,NULL
294,Shirt,shirt,NULL,NULL
295,Sportswear,sportswear,NULL,NULL
296,T-Shirts,t-shirts,NULL,NULL
297,Clothing Set,clothing-set,NULL,NULL
298,Dresses,dresses,NULL,NULL
299,Jumpsuits,jumpsuits,NULL,NULL
300,Maternity,maternity,NULL,NULL
301,Tops,tops,NULL,NULL
302,Casual Shoes,casual-shoes,NULL,NULL
303,Sandals,sandals,NULL,NULL
304,Shoe Care,shoe-care,NULL,NULL
305,Sports Shoes,sports-shoes,NULL,NULL
306,Boots,boots,NULL,NULL
307,Formal Shoes,formal-shoes,NULL,NULL
308,Slippers,slippers,NULL,NULL
309,Flats,flats,NULL,NULL
310,Heels,heels,NULL,NULL
311,Wedges,wedges,NULL,NULL
312,Free Item Gift,free-item-gift,NULL,NULL
313,Hand Accessories,hand-accessories,NULL,NULL
314,Hair Accessories,hair-accessories,NULL,NULL
315,School,school,NULL,NULL
316,Baby Products,baby-products,NULL,NULL
317,Bags,bags,NULL,NULL
318,Belts,belts,NULL,NULL
319,Eye wear,eye-wear,NULL,NULL
320,Scarves,scarves,NULL,NULL
321,Technology,technology,NULL,NULL
